Oct 23, 2021 12:16:03 PM 	(24.135738 , 89.584116) 	N 	E 	36 	0.00 	OFF 	A
Oct 23, 2021 12:16:10 PM 	(24.135669 , 89.584133) 	N 	E 	333 	1.00 	ON 	A
Oct 23, 2021 12:24:28 PM 	(24.136138 , 89.584720) 	N 	E 	66 	0.00 	OFF 	A
Oct 23, 2021 12:24:49 PM 	(24.136120 , 89.584747) 	N 	E 	329 	0.00 	OFF 	A
Oct 23, 2021 12:24:49 PM 	(24.136120 , 89.584747) 	N 	E 	329 	0.00 	OFF 	A
Oct 23, 2021 01:08:13 PM 	(24.136187 , 89.584729) 	N 	E 	261 	8.00 	OFF 	A
Oct 23, 2021 01:08:15 PM 	(24.136169 , 89.584667) 	N 	E 	262 	12.00 	ON 	A
Oct 23, 2021 01:08:15 PM 	(24.136169 , 89.584667) 	N 	E 	262 	12.00 	ON 	A
Oct 23, 2021 01:09:11 PM 	(24.136129 , 89.584747) 	N 	E 	105 	10.00 	ON 	A
Oct 23, 2021 01:09:21 PM 	(24.136044 , 89.585031) 	N 	E 	111 	12.00 	ON 	A
Oct 23, 2021 01:09:31 PM 	(24.136031 , 89.585333) 	N 	E 	72 	9.00 	ON 	A
Oct 23, 2021 01:09:41 PM 	(24.136273 , 89.585476) 	N 	E 	15 	12.00 	ON 	A
Oct 23, 2021 01:09:51 PM 	(24.136698 , 89.585680) 	N 	E 	25 	20.00 	ON 	A
Oct 23, 2021 01:11:01 PM 	(24.141551 , 89.587191) 	N 	E 	1 	29.00 	ON 	A
Oct 23, 2021 01:11:11 PM 	(24.142444 , 89.587129) 	N 	E 	356 	33.00 	ON 	A
Oct 23, 2021 01:11:21 PM 	(24.143342 , 89.587040) 	N 	E 	354 	36.00 	ON 	A
Oct 23, 2021 01:11:31 PM 	(24.144242 , 89.587031) 	N 	E 	356 	36.00 	ON 	A
Oct 23, 2021 01:11:41 PM 	(24.145153 , 89.586942) 	N 	E 	356 	36.00 	ON 	A
Oct 23, 2021 01:11:51 PM 	(24.146033 , 89.586871) 	N 	E 	355 	36.00 	ON 	A
Oct 23, 2021 01:12:01 PM 	(24.146980 , 89.586782) 	N 	E 	356 	39.00 	ON 	A
Oct 23, 2021 01:12:11 PM 	(24.147938 , 89.586667) 	N 	E 	356 	38.00 	ON 	A
Oct 23, 2021 01:12:21 PM 	(24.148876 , 89.586587) 	N 	E 	358 	35.00 	ON 	A
Oct 23, 2021 01:12:31 PM 	(24.149824 , 89.586542) 	N 	E 	356 	39.00 	ON 	A
